convert_from,code,name
What is a covalent bond?,CHEM-101-OLEVEL,O-Levels
Describe the industrial production of ammonia (Haber Process),CHEM-101-OLEVEL,O-Levels
What is chromatography used for?,CHEM-101-OLEVEL,O-Levels
What gas is produced when copper reacts with concentrated H₂SO₄?,CHEM-101-OLEVEL,O-Levels
What is the difference between an element and a compound?,CHEM-101-OLEVEL,O-Levels
What is pseudocode?,CS-101-OLEVEL,O-Levels
What is the difference between ROM and RAM?,CS-101-OLEVEL,O-Levels
What is a flowchart?,CS-101-OLEVEL,O-Levels
Design an algorithm to sort a list of numbers,CS-101-OLEVEL,O-Levels
What is a Boolean expression?,CS-101-OLEVEL,O-Levels
Explain the concept of comparative advantage,ECON-101-OLEVEL,O-Levels
What is a market economy?,ECON-101-OLEVEL,O-Levels
Describe the role of the central bank in an economy,ECON-101-OLEVEL,O-Levels
What causes unemployment?,ECON-101-OLEVEL,O-Levels
What is the difference between needs and wants?,ECON-101-OLEVEL,O-Levels
What is the difference between denotation and connotation?,ENG-101-OLEVEL,O-Levels
Analyse the use of imagery in a given poem,ENG-101-OLEVEL,O-Levels
What is an adjective?,ENG-101-OLEVEL,O-Levels
"Change to indirect speech: He said ""I am tired""",ENG-101-OLEVEL,O-Levels
What is the tone of a piece of writing?,ENG-101-OLEVEL,O-Levels
Find the volume of a cylinder with radius 4cm and height 10cm,MATH-101-OLEVEL,O-Levels
What is 15% of 200?,MATH-101-OLEVEL,O-Levels
Expand: (x + 3)(x - 2),MATH-101-OLEVEL,O-Levels
"If f(x) = 2x² - 3, find f(3)",MATH-101-OLEVEL,O-Levels
Prove that the angles in a quadrilateral sum to 360°,MATH-101-OLEVEL,O-Levels
What is nuclear fission? Give an example of its application,PHY-101-OLEVEL,O-Levels
Calculate the equivalent resistance of two 6Ω resistors in parallel,PHY-101-OLEVEL,O-Levels
What is total internal reflection?,PHY-101-OLEVEL,O-Levels
What is the difference between mass and weight?,PHY-101-OLEVEL,O-Levels
What is the formula for Ohm's law?,PHY-101-OLEVEL,O-Levels
What is the role of auxins in plant growth?,BIO-101-WAEC,WAEC
Describe the process of meiosis,BIO-101-WAEC,WAEC
What is osmosis?,BIO-101-WAEC,WAEC
What is the function of the nephron?,BIO-101-WAEC,WAEC
Name the enzyme that breaks down starch in saliva,BIO-101-WAEC,WAEC
What are the 4 Ps of marketing?,BUS-101-WAEC,WAEC
What is the difference between profit and revenue?,BUS-101-WAEC,WAEC
What is marketing?,BUS-101-WAEC,WAEC
What is a limited liability company?,BUS-101-WAEC,WAEC
Explain the role of entrepreneurship in economic development,BUS-101-WAEC,WAEC
"Which of these is an oxidising agent: H₂, O₂, CO, N₂?",CHEM-101-WAEC,WAEC
What type of bond exists in NaCl?,CHEM-101-WAEC,WAEC
What is Avogadro's number?,CHEM-101-WAEC,WAEC
Calculate the concentration of a solution containing 4g of NaOH in 500cm³ of water,CHEM-101-WAEC,WAEC
Describe the process of electrolysis of brine,CHEM-101-WAEC,WAEC
Describe how a bubble sort algorithm works,CS-101-WAEC,WAEC
What is RAM used for?,CS-101-WAEC,WAEC
What is the difference between a compiler and an interpreter?,CS-101-WAEC,WAEC
Convert 255 from decimal to binary,CS-101-WAEC,WAEC
What is a primary key in a database?,CS-101-WAEC,WAEC
Explain how the multiplier effect works in an economy,ECON-101-WAEC,WAEC
What is inflation?,ECON-101-WAEC,WAEC
What is the law of diminishing returns?,ECON-101-WAEC,WAEC
Differentiate between microeconomics and macroeconomics,ECON-101-WAEC,WAEC
What are the functions of money?,ECON-101-WAEC,WAEC
What is the difference between a phrase and a clause?,ENG-101-WAEC,WAEC
What is a simile?,ENG-101-WAEC,WAEC
Choose the correct preposition: She is good ___ mathematics,ENG-101-WAEC,WAEC
"What is the passive voice of: ""The cat chased the mouse""?",ENG-101-WAEC,WAEC
"Identify the clause type: ""Although it was raining, we went out""",ENG-101-WAEC,WAEC
Simplify: 3(2x - 4) + 2(x + 5),MATH-101-WAEC,WAEC
"Find the gradient of the line joining (2,3) and (4,7)",MATH-101-WAEC,WAEC
The sum of angles in a triangle is?,MATH-101-WAEC,WAEC
Evaluate: ⁵C₂,MATH-101-WAEC,WAEC
Differentiate y = 3x² + 2x - 5 with respect to x,MATH-101-WAEC,WAEC
State Newton's first law of motion,PHY-101-WAEC,WAEC
Calculate the pressure at the bottom of a 10m deep water column (density = 1000 kg/m³),PHY-101-WAEC,WAEC
"A transformer has 200 primary turns and 1000 secondary turns. If primary voltage is 50V, find secondary voltage",PHY-101-WAEC,WAEC
What is the frequency of a wave with period 0.02s?,PHY-101-WAEC,WAEC
What is the unit of electrical resistance?,PHY-101-WAEC,WAEC
