id,review_tier,question_text,difficulty,predicted_subject,flag
838,3-PICK_FROM_SUBJECT,"While faith is essential, what role do 'good works' play in Christian living, according to many Christian traditions?",medium,CRS,Christian doctrine of faith and works not covered by CRS subtopic list
71,3-PICK_FROM_SUBJECT,"What is the primary organic component of the bone matrix, responsible for providing its significant tensile strength and flexibility?",hard,Mathematics,"predicted_subject was Mathematics; content is human anatomy (bone matrix/collagen), not covered by Biology or any subject's subtopic list"
214,3-PICK_FROM_SUBJECT,"A bag contains 5 red balls and 3 blue balls. If a ball is selected at random, what is the probability that it is blue?",easy,Mathematics,Probability questions - no Probability subtopic exists in Mathematics subtopic list (Statistics only covers central tendency/dispersion)
805,3-PICK_FROM_SUBJECT,"A continuous random variable X has a probability density function f(x) = (1/2)x for 0 ≤ x ≤ 2, and f(x) = 0 otherwise. What is the probability P(X > 1)?",medium,Mathematics,Probability questions - no Probability subtopic exists in Mathematics subtopic list (Statistics only covers central tendency/dispersion)
807,3-PICK_FROM_SUBJECT,"For the probability density function f(x) = (1/2)x for 0 ≤ x ≤ 2, and f(x) = 0 otherwise, what is the expected value E[X]?",medium,Mathematics,Probability questions - no Probability subtopic exists in Mathematics subtopic list (Statistics only covers central tendency/dispersion)
115,3-PICK_FROM_SUBJECT,"A block of wood floats on water such that 80% of its volume is submerged. If the density of water is 1000 kg/m³, what is the density of the wood?",medium,Physics,Floatation/density (Archimedes' principle) not covered by Physics subtopic list
117,3-PICK_FROM_SUBJECT,Which type of radiation has the highest penetrating power?,easy,Physics,"Radioactivity/nuclear physics (isotopes, half-life, penetrating power) not covered by Physics subtopic list"
120,3-PICK_FROM_SUBJECT,A fixed mass of gas at constant temperature has its pressure doubled. What happens to its volume?,medium,Physics,Gas laws (Boyle's/pressure-temperature) not covered by Physics subtopic list
122,3-PICK_FROM_SUBJECT,"A simple pendulum of length L has a period T. If the length of the pendulum is doubled, its new period will be:",medium,Physics,Simple harmonic motion/pendulum not covered by Physics subtopic list
195,3-PICK_FROM_SUBJECT,"According to Faraday's Law of Electromagnetic Induction, the magnitude of the induced electromotive force (EMF) in a circuit is directly proportional to:",medium,Physics,Electromagnetic induction (Faraday's Law) not covered by Physics subtopic list
196,3-PICK_FROM_SUBJECT,"The half-life of a radioactive isotope is 10 days. If a sample initially contains 80 g of the isotope, how much will remain after 30 days?",medium,Physics,"Radioactivity/nuclear physics (isotopes, half-life, penetrating power) not covered by Physics subtopic list"
199,3-PICK_FROM_SUBJECT,"A block of wood floats in water with 60% of its volume submerged. If the density of water is 1000 kg/m³, what is the density of the wood?",hard,Physics,Floatation/density (Archimedes' principle) not covered by Physics subtopic list
271,3-PICK_FROM_SUBJECT,Which gas is commonly used in filling balloons and airships because of its low density and non-flammability?,easy,Chemistry,Gas laws / separation techniques not covered by Chemistry subtopic list (same gap identified in Physics gas-law questions)
414,3-PICK_FROM_SUBJECT,"An ideal gas initially at a pressure P, volume V, and temperature T is compressed isothermally to half its original volume. What is its new pressure?",easy,Physics,Gas laws (Boyle's/pressure-temperature) not covered by Physics subtopic list
421,3-PICK_FROM_SUBJECT,"A radioactive isotope has a half-life of 6 hours. If a sample initially contains 80 g of the isotope, how much will remain after 18 hours?",medium,Physics,"Radioactivity/nuclear physics (isotopes, half-life, penetrating power) not covered by Physics subtopic list"
432,3-PICK_FROM_SUBJECT,Which type of radiation has the highest penetrating power?,easy,Physics,"Radioactivity/nuclear physics (isotopes, half-life, penetrating power) not covered by Physics subtopic list"
437,3-PICK_FROM_SUBJECT,A force of 100 N acts on an area of 0.5 m². Calculate the pressure exerted.,easy,Physics,Pressure (force/area) not covered by Physics subtopic list
465,3-PICK_FROM_SUBJECT,Which of the following is an example of an associational pressure group?,medium,Physics,"predicted_subject was Physics; content is about political pressure groups (Government/Civic Education topic), but no matching subtopic exists in either subject's list"
482,3-PICK_FROM_SUBJECT,A tactic commonly employed by pressure groups to influence government policy by directly contacting policymakers is known as...,hard,Physics,"predicted_subject was Physics; content is about political pressure groups (Government/Civic Education topic), but no matching subtopic exists in either subject's list"
710,3-PICK_FROM_SUBJECT,A gas of volume 400 cm³ at 27°C is heated at a constant pressure to a temperature of 45°C. What is its new volume?,medium,Physics,Gas laws (Boyle's/pressure-temperature) not covered by Physics subtopic list
957,3-PICK_FROM_SUBJECT,"An ideal gas is contained in a rigid, sealed container. If the absolute temperature of the gas is doubled, what happens to its pressure?",medium,Physics,Gas laws (Boyle's/pressure-temperature) not covered by Physics subtopic list
988,3-PICK_FROM_SUBJECT,Which isotope of hydrogen is radioactive and used in radiolabelling experiments?,medium,Physics,"Radioactivity/nuclear physics (isotopes, half-life, penetrating power) not covered by Physics subtopic list"
79,3-PICK_FROM_SUBJECT,"During the process of bone fracture repair, the initial soft callus that forms is primarily composed of what type of tissue?",hard,Biology,predicted_subject was Biology; content is human anatomy/histology (bone fracture repair) not covered by any Biology subtopic
167,3-PICK_FROM_SUBJECT,The functional unit of the kidney responsible for filtering blood and producing urine is the:,medium,Biology,"Basic Biology/physiology concept (kidney function, virus classification, water properties, cell theory) not covered by Biology subtopic list"
190,3-PICK_FROM_SUBJECT,Which of the following statements correctly describes Boyle's Law?,easy,Chemistry,Gas laws / separation techniques not covered by Chemistry subtopic list (same gap identified in Physics gas-law questions)
265,3-PICK_FROM_SUBJECT,What is the oxidation state of sulfur in H₂SO₄?,easy,Chemistry,Oxidation state/redox concept not covered by Chemistry subtopic list
267,3-PICK_FROM_SUBJECT,"According to the Kinetic Theory of Gases, which of the following statements is true for an ideal gas?",medium,Chemistry,Gas laws / separation techniques not covered by Chemistry subtopic list (same gap identified in Physics gas-law questions)
270,3-PICK_FROM_SUBJECT,Which of the following methods is most suitable for separating a mixture of ethanol (boiling point 78°C) and water (boiling point 100°C)?,easy,Chemistry,Gas laws / separation techniques not covered by Chemistry subtopic list (same gap identified in Physics gas-law questions)
284,3-PICK_FROM_SUBJECT,The primary function of the kidney in humans is to:,easy,Biology,"Basic Biology/physiology concept (kidney function, virus classification, water properties, cell theory) not covered by Biology subtopic list"
320,3-PICK_FROM_SUBJECT,"What is the minimum word count for IELTS Academic Writing Task 2, and what percentage of the total writing score does it contribute?",medium,Mathematics,"IELTS test-specific content, not part of this curriculum's subject list"
177,3-PICK_FROM_SUBJECT,"A machine costing N50,000 has an estimated useful life of 5 years and a scrap value of N5,000. Using the straight-line method, the annual depreciation will be:",medium,Accounting,"Depreciation/accrual concept not covered by Accounting subtopic list (closest topic is Final Accounts, but no exact match)"
299,3-PICK_FROM_SUBJECT,Which depreciation method results in a constant amount of depreciation expense being charged each year over the asset's useful life?,medium,Accounting,"Depreciation/accrual concept not covered by Accounting subtopic list (closest topic is Final Accounts, but no exact match)"
401,3-PICK_FROM_SUBJECT,"A machine was purchased for N50,000 on 1st January 2022. Its useful life is 5 years and residual value is N5,000. Using the straight-line method, what is the depreciation for the year ended 31st December 2022?",medium,Accounting,"Depreciation/accrual concept not covered by Accounting subtopic list (closest topic is Final Accounts, but no exact match)"
381,3-PICK_FROM_SUBJECT,Which of the following is NOT one of the generally recognized domains of life?,medium,Biology,Basic 'domains of life' classification concept not covered by Biology subtopic list
840,3-PICK_FROM_SUBJECT,Why is participation in a Christian community (church) generally considered important for Christian living?,medium,Biology,"predicted_subject was Biology; content is CRS (importance of church community), but no matching CRS subtopic exists"
925,3-PICK_FROM_SUBJECT,Which characteristic of living organisms involves obtaining and using energy to power life processes?,medium,Biology,Basic 'characteristics of living things' concept not covered by Biology subtopic list
802,3-PICK_FROM_SUBJECT,"Legislation regulating business, increased emphasis on ethics, and social responsibility issues are characteristics of which macroenvironmental force?",medium,Physics,"predicted_subject was Physics; content is Marketing (macroenvironment/PESTLE forces), but no matching Marketing subtopic exists"
400,3-PICK_FROM_SUBJECT,Depreciation is charged on fixed assets to reflect their __________.,medium,Accounting,"Depreciation/accrual concept not covered by Accounting subtopic list (closest topic is Final Accounts, but no exact match)"
813,3-PICK_FROM_SUBJECT,"In a high school, 60% of students play basketball, 30% play soccer, and 10% play both. What is the probability that a randomly selected student plays soccer GIVEN that they play basketball?",medium,Mathematics,Probability questions - no Probability subtopic exists in Mathematics subtopic list (Statistics only covers central tendency/dispersion)
78,3-PICK_FROM_SUBJECT,"The ligamentum flavum, connecting the laminae of adjacent vertebrae, is distinctive due to its high proportion of what type of tissue?",hard,Biology,predicted_subject was Biology; content is detailed human anatomy (ligamentum flavum) not covered by any Biology subtopic
