id,review_tier,question_text,predicted_subject,flag
880,4-WEAK_HINT_VERIFY,President Franklin D. Roosevelt's New Deal programs during the Great Depression led to a significant and lasting expansion of which aspect of American government?,Government,
136,4-WEAK_HINT_VERIFY,The children are playing football. Convert this sentence to the passive voice.,English Language,
216,4-WEAK_HINT_VERIFY,Which literary device involves giving human qualities or actions to inanimate objects or abstract ideas?,Civic Education,
451,4-WEAK_HINT_VERIFY,William Shakespeare is renowned for writing plays and sonnets during which historical period?,English Language,
885,4-WEAK_HINT_VERIFY,Which literary device involves giving human qualities or attributes to inanimate objects or abstract ideas?,Civic Education,
18,4-WEAK_HINT_VERIFY,"If $\frac{2+\sqrt{3}}{2-\sqrt{3}} = a+b\sqrt{3}$, where $a$ and $b$ are rational numbers, find the values of $a$ and $b$.",Civic Education,
143,4-WEAK_HINT_VERIFY,Which type of business organization has its owners' liability limited to the amount of capital they invested?,Commerce,
149,4-WEAK_HINT_VERIFY,Which of these is an example of an internal source of business finance?,Business admin,
172,4-WEAK_HINT_VERIFY,The concept that states that the business is considered separate and distinct from its owners is known as the:,Business admin,
248,4-WEAK_HINT_VERIFY,"A business owned and managed by one person, who bears all risks and enjoys all profits, is known as a",Business admin,
291,4-WEAK_HINT_VERIFY,Which accounting concept states that a business is considered a separate entity from its owner(s)?,Business admin,
300,4-WEAK_HINT_VERIFY,Expenditure incurred to acquire a new delivery van for the business is an example of:,Business admin,
644,4-WEAK_HINT_VERIFY,"In a hydroelectric power station, what is the sequence of energy conversion?",Physics,
112,4-WEAK_HINT_VERIFY,"Which of the following describes the relationship between heat energy, mass, specific heat capacity, and temperature change?",Physics,
189,4-WEAK_HINT_VERIFY,How much heat energy is required to raise the temperature of 2 kg of water from 20°C to 70°C? (Specific heat capacity of water = 4200 J kg⁻¹ K⁻¹),Physics,
637,4-WEAK_HINT_VERIFY,"According to the Work-Energy Theorem, the net work done on an object results in a change in its:",Physics,
954,4-WEAK_HINT_VERIFY,"A 2 kg metal block requires 18,000 J of heat energy to raise its temperature by 20 °C. What is the specific heat capacity of the metal?",Physics,
97,4-WEAK_HINT_VERIFY,"Which male accessory gland contributes a fluid rich in fructose to semen, providing an energy source for sperm?",Physics,
116,4-WEAK_HINT_VERIFY,Which of the following is true for a light ray travelling from a denser medium to a rarer medium at an angle greater than the critical angle?,Physics,
124,4-WEAK_HINT_VERIFY,A 60W light bulb is left on for 5 hours. How much electrical energy is consumed?,Physics,
138,4-WEAK_HINT_VERIFY,Choose the sentence with the correct punctuation.,English Language,
140,4-WEAK_HINT_VERIFY,"""The wind whispered secrets through the trees."" This sentence is an example of which figure of speech?",English Language,
150,4-WEAK_HINT_VERIFY,The process of informing potential customers about a product or service and persuading them to buy it is known as:,Marketing,
162,4-WEAK_HINT_VERIFY,Which gas is primarily transported by haemoglobin in the human blood?,Civic Education,
171,4-WEAK_HINT_VERIFY,What is the primary purpose of accounting?,Financial Accounting,
178,4-WEAK_HINT_VERIFY,An expense incurred but not yet paid at the end of the accounting period is known as a(n):,Financial Accounting,
179,4-WEAK_HINT_VERIFY,"Under the imprest system of petty cash, the petty cashier is reimbursed at intervals for the exact amount spent, thereby restoring the fund to its original amount. This ensures:",Biology,
198,4-WEAK_HINT_VERIFY,Which of the following statements is true for a body undergoing Simple Harmonic Motion?,Physics,
252,4-WEAK_HINT_VERIFY,Which of the following is NOT one of the traditional 4 P's of the marketing mix?,Marketing,
254,4-WEAK_HINT_VERIFY,Which of these communication channels allows for immediate feedback in real-time?,Business admin,
256,4-WEAK_HINT_VERIFY,A characteristic feature of a public limited company is that its shares are,Financial Accounting,
281,4-WEAK_HINT_VERIFY,Blood is pumped from the right ventricle to the lungs through the:,Civic Education,
293,4-WEAK_HINT_VERIFY,Which of the following accounts is classified as a Nominal Account?,Accounting,
295,4-WEAK_HINT_VERIFY,Sales of goods on credit are initially recorded in which book of original entry?,Financial Accounting,
304,4-WEAK_HINT_VERIFY,The system used for petty cash where a fixed amount is reimbursed at regular intervals to restore the fund to its original level is known as the:,Biology,
317,4-WEAK_HINT_VERIFY,"For Academic IELTS Writing Task 1, candidates are typically required to:",English Language,
318,4-WEAK_HINT_VERIFY,"How many passages typically feature in the IELTS Academic Reading test, and what is the total time allotted for this section?",English Language,
375,4-WEAK_HINT_VERIFY,Which biological process converts light energy into chemical energy in the form of glucose?,Physics,
398,4-WEAK_HINT_VERIFY,Which of the following is an example of a nominal account?,Financial Accounting,
411,4-WEAK_HINT_VERIFY,"A mass attached to a spring oscillates with simple harmonic motion. If the spring constant is doubled, how does the period of oscillation change?",Physics,
413,4-WEAK_HINT_VERIFY,The refractive index of a certain glass is 1.5. What is the critical angle for light passing from this glass into air? (sin 41.8° = 0.667),Physics,
435,4-WEAK_HINT_VERIFY,"When a ray of light passes from air into a denser medium, it bends:",Physics,
441,4-WEAK_HINT_VERIFY,“The car sped like a bullet down the highway.” The figure of speech used in this sentence is a(n)...,English Language,
452,4-WEAK_HINT_VERIFY,"Wole Soyinka, the first African Nobel laureate in Literature, is best known for his works in which genre?",Yoruba,
453,4-WEAK_HINT_VERIFY,"A literary work that criticizes human misconduct and foolishness with the intent of shaming individuals, corporations, government, or society itself into improvement is known as a...",Civic Education,
457,4-WEAK_HINT_VERIFY,A system of government in which power is exercised directly by the people or their elected representatives is known as...,Biology,
458,4-WEAK_HINT_VERIFY,A federal system of government is characterized by...,Biology,
470,4-WEAK_HINT_VERIFY,The primary objective of the Economic Community of West African States (ECOWAS) is to...,Geography,
479,4-WEAK_HINT_VERIFY,The primary objective of the Economic Community of West African States (ECOWAS) is to...,Geography,
634,4-WEAK_HINT_VERIFY,What is the S.I. unit of energy?,Physics,
645,4-WEAK_HINT_VERIFY,The energy stored in a stretched or compressed spring is known as:,Physics,
647,4-WEAK_HINT_VERIFY,A machine has an input energy of 200 J and an output useful energy of 150 J. What is its efficiency?,Physics,
648,4-WEAK_HINT_VERIFY,Which of the following scenarios best describes the conversion of chemical energy to electrical energy?,Physics,
652,4-WEAK_HINT_VERIFY,Rural-to-urban migration is primarily caused by:,Geography,
658,4-WEAK_HINT_VERIFY,One of the functions of management is,Business admin,
671,4-WEAK_HINT_VERIFY,One major function of money is:,Economics,
674,4-WEAK_HINT_VERIFY,Choose the correct sentence:,English Language,
678,4-WEAK_HINT_VERIFY,Accounting is the process of:,Financial Accounting,
679,4-WEAK_HINT_VERIFY,The book containing individual accounts is called:,Accounting,
681,4-WEAK_HINT_VERIFY,The arm of government that makes laws is the:,Government,
692,4-WEAK_HINT_VERIFY,Marketing is concerned with:,Marketing,
700,4-WEAK_HINT_VERIFY,"Which of the following defines a ""hypothesis"" in research and scientific writing?",English Language,
701,4-WEAK_HINT_VERIFY,"In communication skills, which of the following is considered an ""expressive"" skill central to academic performance?",Business admin,
765,4-WEAK_HINT_VERIFY,"Identify the conjunction in the sentence: 'I wanted to go, but it started raining.'",English Language,
776,4-WEAK_HINT_VERIFY,Which of the following would typically *decrease* a partner's capital account?,Financial Accounting,
785,4-WEAK_HINT_VERIFY,"""Indirect rule,"" a common British colonial administrative strategy, primarily aimed to:",History,
793,4-WEAK_HINT_VERIFY,A common economic policy challenge for post-colonial governments was:,History,
794,4-WEAK_HINT_VERIFY,"Which of the following refers to actors close to the company that affect its ability to serve its customers, such as suppliers, marketing intermediaries, customer markets, competitors, and publics?",Marketing,
795,4-WEAK_HINT_VERIFY,A company's local community groups and neighborhood residents are examples of which type of public in its marketing environment?,Financial Accounting,
801,4-WEAK_HINT_VERIFY,Markets consisting of government agencies that buy goods and services to produce public services or transfer them to others who need them are known as:,Financial Accounting,
826,4-WEAK_HINT_VERIFY,"In a democratic system, which branch of government is primarily responsible for making laws?",Biology,
831,4-WEAK_HINT_VERIFY,The system designed to prevent any one branch of government from becoming too powerful by allowing each branch to limit the powers of the others is known as:,Biology,
845,4-WEAK_HINT_VERIFY,Which of the following best describes the transformation of data into information?,Data Processing,
846,4-WEAK_HINT_VERIFY,What is the primary purpose of metadata in a data processing system?,Biology,
847,4-WEAK_HINT_VERIFY,"For storing a product's price, which data type is most appropriate to ensure accuracy and prevent rounding errors?",Marketing,
851,4-WEAK_HINT_VERIFY,What is the term for having the same piece of data stored multiple times in different places within a data processing system?,Biology,
856,4-WEAK_HINT_VERIFY,Which sentence is most appropriate for a formal academic essay?,English Language,
876,4-WEAK_HINT_VERIFY,The Supreme Court case of *Marbury v. Madison* (1803) is historically significant for establishing which principle in American government?,Government,
877,4-WEAK_HINT_VERIFY,"During the 'Age of Jackson,' or the Jacksonian Era (roughly 1820s-1840s), a significant political development was the expansion of suffrage to include:",Geography,
883,4-WEAK_HINT_VERIFY,"Following the Civil Rights Movement and the passage of landmark legislation in the 1960s, a significant political realignment occurred in the United States, most notably the shift of conservative white voters in the South from the Democratic Party to which party?",Civic Education,
958,4-WEAK_HINT_VERIFY,An engine does 250 J of work and releases 100 J of heat to its surroundings during a cycle. What is the change in the internal energy of the engine system?,Biology,
967,4-WEAK_HINT_VERIFY,Light passes from a medium with a refractive index of 1.5 into a medium with a refractive index of 1.3. Which of the following will occur?,Physics,
987,4-WEAK_HINT_VERIFY,Which type of hydride is formed when hydrogen reacts with highly electropositive s-block elements (Group 1 and 2)?,Fine Arts,
1000,4-WEAK_HINT_VERIFY,"When actively reading, which note-taking method involves dividing your paper into three sections: main notes, cues, and summary?",GNS,
1002,4-WEAK_HINT_VERIFY,"Which study strategy is most effective for long-term retention of factual information, involving revisiting material at increasing intervals?",Data Processing,
1004,4-WEAK_HINT_VERIFY,"During the pre-writing stage of the writing process, what is the main goal?",English Language,
1005,4-WEAK_HINT_VERIFY,"When writing the first draft of an essay, what should be the primary focus?",English Language,
1006,4-WEAK_HINT_VERIFY,Which aspect is the main focus during the revision stage of the writing process?,English Language,
1007,4-WEAK_HINT_VERIFY,What is the primary task during the editing stage of the writing process?,English Language,
1008,4-WEAK_HINT_VERIFY,"What is the final step in the writing process, primarily focused on catching surface-level errors like typos and formatting issues?",English Language,
1009,4-WEAK_HINT_VERIFY,Which sentence correctly uses a semicolon?,English Language,
1011,4-WEAK_HINT_VERIFY,Which option correctly fixes the run-on sentence: 'The bell rang everyone rushed out of the classroom'?,English Language,
1012,4-WEAK_HINT_VERIFY,"Which sentence uses the correct form of 'their,' 'there,' or 'they're'?",English Language,
1013,4-WEAK_HINT_VERIFY,What is the primary purpose of citing sources in academic writing?,English Language,
1047,4-WEAK_HINT_VERIFY,The main objective of accounting is to:,Financial Accounting,
1051,4-WEAK_HINT_VERIFY,3. Identify the correct sentence.,English Language,
181,4-WEAK_HINT_VERIFY,The Trading Account is prepared to ascertain the:,Financial Accounting,
744,4-WEAK_HINT_VERIFY,New Trade Theory emphasizes that a significant portion of international trade can be explained by:,Economics,
796,4-WEAK_HINT_VERIFY,"Which macroenvironmental factor is concerned with shifts in age structure, geographic population shifts, and increasing diversity?",Geography,
860,4-WEAK_HINT_VERIFY,Which phrase is most appropriate for a formal business letter closing?,English Language,
403,4-WEAK_HINT_VERIFY,Control accounts are maintained to __________.,Accounting,
407,4-WEAK_HINT_VERIFY,The accounting concept that requires anticipating no profits but providing for all foreseeable losses is known as the __________ concept.,Financial Accounting,
408,4-WEAK_HINT_VERIFY,Prime cost in a manufacturing account is the sum of __________.,Financial Accounting,
697,4-WEAK_HINT_VERIFY,"Complete the sentence with the most appropriate option:""He can lift this heavy log of wood, ________?""",English Language,
769,4-WEAK_HINT_VERIFY,Which word is the main verb in the sentence: 'The children played happily in the park.'?,English Language,
289,4-WEAK_HINT_VERIFY,All of the following factors can directly influence population density EXCEPT:,Geography,
76,4-WEAK_HINT_VERIFY,"Which carpal bone articulates with the first metacarpal bone, providing the thumb with its unique saddle joint and extensive range of motion?",Physics,
324,5-FULL_REVIEW,How is the overall band score for IELTS Academic calculated?,,
327,5-FULL_REVIEW,Which of the following quantities is a scalar?,,
329,5-FULL_REVIEW,A train travels the first 100 km at 50 km/h and the next 100 km at 25 km/h. What is its average speed?,,
337,5-FULL_REVIEW,An object is dropped from rest. How far does it fall in the first 2 seconds? (Assume g = 10 m/s²),,
344,5-FULL_REVIEW,A car is moving at 60 km/h. A passenger inside walks towards the front of the car at 5 km/h relative to the car. What is the passenger's speed relative to the ground?,,
348,5-FULL_REVIEW,An object starts from rest and accelerates uniformly at 4 m/s². How far does it travel in 3 seconds?,,
356,5-FULL_REVIEW,"If 3x - 7 = 8, what is the value of x?",,
363,5-FULL_REVIEW,A number increased by 8 is equal to three times the number decreased by 4. What is the number?,,
377,5-FULL_REVIEW,What is the correct hierarchical order of biological organization from simpler to more complex?,,
380,5-FULL_REVIEW,A polar bear's thick fur provides insulation in cold environments. This is an example of a(n):,,
409,5-FULL_REVIEW,Which of the following ratios measures a company's ability to meet its short-term obligations?,,
419,5-FULL_REVIEW,Which of the following materials is the best conductor of heat?,,
429,5-FULL_REVIEW,What is the amount of heat required to change 2 kg of ice at 0°C to water at 0°C? (Latent heat of fusion of ice = 334 J/g),,
433,5-FULL_REVIEW,A machine lifts a load of 500 N through a vertical height of 2 m in 5 seconds. What is the power developed by the machine?,,
445,5-FULL_REVIEW,Chinua Achebe's *Things Fall Apart* is primarily a critique of...,,
446,5-FULL_REVIEW,The central idea or underlying message that a writer explores in a literary work is known as the...,,
447,5-FULL_REVIEW,“I've told you a million times not to do that!” is an example of which figure of speech?,,
454,5-FULL_REVIEW,The use of hints or clues in a narrative to suggest future events is called...,,
456,5-FULL_REVIEW,The distinctive feature of a state which distinguishes it from other organizations is its possession of...,,
467,5-FULL_REVIEW,The policy of Indirect Rule in British West Africa was primarily aimed at...,,
471,5-FULL_REVIEW,Which of the following is NOT a characteristic feature of a state?,,
484,5-FULL_REVIEW,"The ultimate legal authority within a state, allowing it to govern itself without external interference, refers to...",,
488,5-FULL_REVIEW,Which ethical theory holds that the moral action is the one that maximises overall happiness or pleasure for the greatest number of people?,,
492,5-FULL_REVIEW,"Which theodicy argues that evil and suffering are necessary for humans to develop moral and spiritual character, thus 'soul-making'?",,
499,5-FULL_REVIEW,The 'Free Will Defence' is a common response to the problem of evil that argues:,,
500,5-FULL_REVIEW,"The meta-ethical theory that claims moral statements are simply expressions of personal feelings or attitudes, and not objectively true or false, is known as:",,
504,5-FULL_REVIEW,The oxygenated blood leaves the left ventricle of the heart and is pumped to the rest of the body through which major artery?,,
512,5-FULL_REVIEW,"The functional unit of the kidney, responsible for filtering blood and producing urine, is known as the:",,
523,5-FULL_REVIEW,The Ksp for silver chloride (AgCl) is 1.8 × 10^-10. What is the solubility of AgCl in a 0.010 M solution of calcium chloride (CaCl2)?,,
527,5-FULL_REVIEW,What is amoeba,,
613,5-FULL_REVIEW,What volume of 0.1 M HCl is required to completely neutralize 25 cm³ of 0.2 M NaOH?,,
617,5-FULL_REVIEW,The hydrolysis of sodium carbonate (Na₂CO₃) in water results in a solution that is:,,
629,5-FULL_REVIEW,"Find the area enclosed by the curve y = x^2, the x-axis, and the lines x = 1 and x = 3.",,
639,5-FULL_REVIEW,Power is defined as the:,,
640,5-FULL_REVIEW,The S.I. unit of power is the:,,
643,5-FULL_REVIEW,A machine lifts a 500 N load through a height of 4 meters in 2 seconds. What is the power developed by the machine?,,
653,5-FULL_REVIEW,what is roice?,,
655,5-FULL_REVIEW,One of the following is a cause of African nationalism,,
660,5-FULL_REVIEW,what is psycology ?,,
670,5-FULL_REVIEW,Which institution accepts deposits from customers?,,
675,5-FULL_REVIEW,"The opposite of ""ancient"" is:",,
676,5-FULL_REVIEW,"The opposite of ""ancient"" is:",,
680,5-FULL_REVIEW,The supreme law of a country is the:,,
689,5-FULL_REVIEW,Which word contains a silent letter?,,
693,5-FULL_REVIEW,Which of the following is a promotional tool?,,
694,5-FULL_REVIEW,What is the first step in the data processing cycle?,,
698,5-FULL_REVIEW,Which of the following does a textile artist use to form recurring designs or patterns on fabric?,,
699,5-FULL_REVIEW,Traditional thorn carving in Nigeria is primarily practiced in which of these towns?,,
709,5-FULL_REVIEW,"In an elastic collision, which of the following statements is correct?",,
712,5-FULL_REVIEW,"Yiyan wo ninu awon wọnyi lo tọ fun ọrọ naa ""Òjò""?",,
713,5-FULL_REVIEW,which part of plant make food using sunlight,,
724,5-FULL_REVIEW,Which of the following best distinguishes political apathy from rational abstention in a democratic context?,,
727,5-FULL_REVIEW,"While often conflated, political cynicism differs from political apathy primarily in that cynicism involves:",,
729,5-FULL_REVIEW,"The 'dumbing down' of political discourse in mass media, characterized by sensationalism and a focus on personalities over policy, is argued to contribute to political apathy primarily by:",,
731,5-FULL_REVIEW,"To effectively combat political apathy through civic education, curricula should prioritize which of the following approaches?",,
734,5-FULL_REVIEW,"While both can lead to disengagement, political alienation primarily differs from political apathy in that alienated individuals typically:",,
735,5-FULL_REVIEW,"Beyond low voter turnout, which of the following is considered a strong indicator of widespread political apathy in a democratic society?",,
739,5-FULL_REVIEW,Which of the following best explains the Leontief Paradox as a challenge to the Heckscher-Ohlin theory?,,
757,5-FULL_REVIEW,"In a perfectly competitive market, individual firms are:",,
758,5-FULL_REVIEW,Which of the following is an example of a fixed cost in the short run for a manufacturing firm?,,
759,5-FULL_REVIEW,A negative externality occurs when:,,
761,5-FULL_REVIEW,Which condition must a monopolist satisfy to maximize profits?,,
762,5-FULL_REVIEW,A point inside the Production Possibilities Frontier (PPF) indicates:,,
763,5-FULL_REVIEW,The primary goal of a firm in a market economy is typically assumed to be:,,
790,5-FULL_REVIEW,"The ""Scramble for Africa"" during the late 19th century directly resulted in:",,
791,5-FULL_REVIEW,"Which of the following governmental structures was most commonly inherited by former colonies from their European colonizers, particularly in Africa and Asia?",,
792,5-FULL_REVIEW,The Cold War significantly influenced the decolonization process by:,,
804,5-FULL_REVIEW,"A rectangular garden is to be enclosed by a fence on three sides, with an existing wall forming the fourth side. If 120 meters of fencing material are available, what is the maximum area of the garden?",,
806,5-FULL_REVIEW,Find the area of the region bounded by the curves y = x² and y = 2x.,,
815,5-FULL_REVIEW,Èwo nínú àwọn wọ̀nyí ni ó jẹ́ orísun pàtàkì tí wọ́n máa ń lò fún 'Ayan Ogbufo'?,,
817,5-FULL_REVIEW,Èwo nínú àwọn wọ̀nyí ni kò ní sábà jẹ́ koko ọ̀rọ̀ fún 'Ayan Ogbufo'?,,
821,5-FULL_REVIEW,Èwo nínú àwọn ẹ̀ka ìmọ̀ yí ni 'Ayan Ogbufo' jẹ́ ìbámu pẹ̀lú jùlọ?,,
823,5-FULL_REVIEW,Kí ni iṣẹ́ ẹ̀kọ́ pàtàkì tí 'Ayan Ogbufo' ṣe nínú yàrá ìkẹ́kọ̀ọ́ tàbí ní ipò ìmọ̀-ẹ̀kọ́?,,
834,5-FULL_REVIEW,"Which of the following best describes the Christian concept of ""agape"" love?",,
835,5-FULL_REVIEW,"In Christian living, what is the primary purpose of regular personal prayer?",,
837,5-FULL_REVIEW,What does the Christian principle of stewardship primarily refer to?,,
841,5-FULL_REVIEW,"When faced with an ethical dilemma, what is a common Christian approach to moral decision-making?",,
843,5-FULL_REVIEW,"In Christian living, what is implied by the concept of ""witnessing"" or ""evangelism""?",,
844,5-FULL_REVIEW,"In the data hierarchy, what is a collection of related fields treated as a single unit?",,
852,5-FULL_REVIEW,"In the context of data processing, a collection of related records, often stored on a storage device, is typically referred to as a:",,
861,5-FULL_REVIEW,"In a legal document, which word would typically be preferred over 'start'?",,
864,5-FULL_REVIEW,Which High Renaissance artist is renowned for painting 'The Last Supper' and 'Mona Lisa'?,,
865,5-FULL_REVIEW,"The Baroque art movement, prominent in the 17th century, is often characterized by which of the following?",,
866,5-FULL_REVIEW,"The Rococo style, emerging in 18th-century France, is best described as:",,
867,5-FULL_REVIEW,"Which Neoclassical painter is famous for works like 'The Oath of the Horatii' and 'The Death of Marat,' embodying civic virtue and classical ideals?",,
869,5-FULL_REVIEW,"The Impressionist movement, originating in France in the late 19th century, is known for its artists' focus on:",,
870,5-FULL_REVIEW,Which of these artists is NOT considered a Post-Impressionist?,,
871,5-FULL_REVIEW,"Pioneered by Pablo Picasso and Georges Braque in the early 20th century, Cubism is characterized by:",,
872,5-FULL_REVIEW,"The Surrealist art movement, launched in the 1920s, aimed to unlock the power of the:",,
875,5-FULL_REVIEW,"The first major political parties in the United States, the Federalists and the Democratic-Republicans, primarily differed over what fundamental issue?",,
881,5-FULL_REVIEW,"During the Cold War, the U.S. foreign policy strategy aimed at preventing the spread of communism was known as:",,
911,5-FULL_REVIEW,What is the function of lysosomes?,,
913,5-FULL_REVIEW,Which of the following is a function of the cytoskeleton?,,
927,5-FULL_REVIEW,Maintaining a stable internal environment despite changes in the external environment is a characteristic known as:,,
934,5-FULL_REVIEW,Viruses are often considered to be on the border of living and non-living because they:,,
955,5-FULL_REVIEW,Which statement best describes the latent heat of vaporization?,,
959,5-FULL_REVIEW,"For an ideal gas, which of the following quantities is directly proportional to its absolute temperature?",,
960,5-FULL_REVIEW,"A bimetallic strip, made of brass and steel, is initially straight at room temperature. If the strip is heated, it bends with the brass on the outside of the curve. What does this indicate?",,
966,5-FULL_REVIEW,"A string fixed at both ends is vibrating at its third harmonic. How many nodes are present on the string, excluding the endpoints?",,
984,5-FULL_REVIEW,Which of the following properties is *most* characteristic of transition metals?,,
989,5-FULL_REVIEW,The industrial production of hydrogen primarily involves:,,
992,5-FULL_REVIEW,The characteristic golden-yellow flame observed during a flame test is indicative of which s-block element?,,
993,5-FULL_REVIEW,A high Biochemical Oxygen Demand (BOD) value for a water sample indicates:,,
994,5-FULL_REVIEW,"Which of the following is a primary greenhouse gas responsible for global warming, produced mainly from the combustion of fossil fuels?",,
996,5-FULL_REVIEW,What is a key defining characteristic that often gives nanomaterials unique properties compared to their bulk counterparts?,,
997,5-FULL_REVIEW,"Which of the following is an example of a 2D nanomaterial known for its exceptional strength, conductivity, and transparency?",,
1001,5-FULL_REVIEW,What is the primary purpose of active reading compared to passive reading?,,
1003,5-FULL_REVIEW,"To effectively recall a list of unrelated items, such as a shopping list, which memory technique would be most beneficial?",,
1015,5-FULL_REVIEW,What is the derivative of $y = (2x+1)(x^2-3)$?,,
1016,5-FULL_REVIEW,Find $\frac{dy}{dx}$ for $y = \frac{x^2}{x+1}$.,,
1019,5-FULL_REVIEW,Find $\frac{dy}{dx}$ for $y = e^{3x^2}$.,,
1021,5-FULL_REVIEW,Find $\frac{dy}{dx}$ if $x^2 + y^2 = 25$.,,
1023,5-FULL_REVIEW,What is the slope of the tangent line to the curve $y = x^3 - 2x + 1$ at $x=2$?,,
1029,5-FULL_REVIEW,What is your name?,,
1034,5-FULL_REVIEW,Factor completely: 4x^2 - 25,,
1039,5-FULL_REVIEW,"A certain number is six less than twice another number. If their sum is 24, what is the larger number?",,
1045,5-FULL_REVIEW,2+2,,
486,5-FULL_REVIEW,"Which philosopher famously proposed the 'Five Ways' as arguments for the existence of God, including a version of the Cosmological Argument?",,
842,5-FULL_REVIEW,Which virtue is emphasized in Christian living as recognizing one's dependence on God and serving others rather than oneself?,,
126,5-FULL_REVIEW,The principal's ______ address at the graduation ceremony inspired all the students.,,
127,5-FULL_REVIEW,Neither the students nor their teacher ______ aware of the changes to the timetable.,,
137,5-FULL_REVIEW,"If I had known you were coming, I ______ a cake.",,
233,5-FULL_REVIEW,"The boy, along with his parents, _______ to the village every Christmas.",,
234,5-FULL_REVIEW,"If I had known about the party, I _______ there.",,
235,5-FULL_REVIEW,The manager decided to _______ the meeting until next week due to unforeseen circumstances.,,
236,5-FULL_REVIEW,"Despite his initial failure, he refused to give up and decided to _______.",,
239,5-FULL_REVIEW,The student complained _______ the teacher _______ his poor grades.,,
240,5-FULL_REVIEW,"_______ it was raining heavily, we decided to go for a walk.",,
243,5-FULL_REVIEW,The committee reached a _______ decision after hours of debate.,,
244,5-FULL_REVIEW,It is unwise to count your chickens before they are _______.,,
245,5-FULL_REVIEW,He drives _______ than his brother.,,
397,5-FULL_REVIEW,A transaction involving the purchase of goods on credit would primarily be recorded in the __________.,,
402,5-FULL_REVIEW,The primary purpose of preparing a bank reconciliation statement is to __________.,,
404,5-FULL_REVIEW,"In a non-profit organization, a 'surplus' occurs when __________.",,
406,5-FULL_REVIEW,A document issued by a seller to a customer for goods returned by the customer is called a __________.,,
688,5-FULL_REVIEW,"Choose the correct option:

""The boys _____ playing football.""",,
