id,review_tier,question_text,difficulty,predicted_subject,predicted_subtopic_id,predicted_subtopic_name,final_subtopic_id,annotation
261,1-CONFIRM,Which of the following elements has its valence electrons in the 'p' subshell and belongs to Group 16 of the periodic table?,easy,Chemistry,111.0,Valence Shell Electron Pair Repulsion (VSEPR) Theory,29.0,
266,1-CONFIRM,Which of the following organic compounds is a member of the alkyne homologous series?,easy,Chemistry,115.0,Isomerism in Organic Compounds,115.0,
544,1-CONFIRM,What are the primary products of a neutralization reaction between an acid and a base?,medium,Chemistry,24.0,neutralization Reaction,24.0,
610,1-CONFIRM,"In the reversible reaction H₂O + NH₃ ⇌ NH₄⁺ + OH⁻, which of the following is a conjugate acid-base pair?",medium,Chemistry,5.0,Acid,5.0,
939,1-CONFIRM,What is the defining characteristic that distinguishes most organic compounds from inorganic compounds?,medium,Chemistry,115.0,Isomerism in Organic Compounds,115.0,
940,1-CONFIRM,Which type of bonding is predominantly found in organic compounds?,medium,Chemistry,115.0,Isomerism in Organic Compounds,115.0,
941,1-CONFIRM,"Compared to typical inorganic salts, organic compounds generally exhibit:",medium,Chemistry,115.0,Isomerism in Organic Compounds,115.0,
942,1-CONFIRM,Which statement best describes the general solubility of organic compounds in water?,medium,Chemistry,115.0,Isomerism in Organic Compounds,115.0,
945,1-CONFIRM,The phenomenon where two or more compounds have the same molecular formula but different structural formulas is known as isomerism. This phenomenon is vastly more prevalent in:,medium,Chemistry,115.0,Isomerism in Organic Compounds,115.0,
946,1-CONFIRM,Which statement is generally true regarding the electrical conductivity of typical pure organic compounds in their liquid state compared to molten inorganic salts?,medium,Chemistry,115.0,Isomerism in Organic Compounds,115.0,
948,1-CONFIRM,"Historically, organic compounds were considered to be derived from living organisms, while inorganic compounds were derived from non-living matter. While this distinction is now blurred by synthesis, which statement correctly reflects a common natural source for many organic compounds?",medium,Chemistry,115.0,Isomerism in Organic Compounds,115.0,
949,1-CONFIRM,Which of the following compounds is classified as an inorganic compound?,medium,Chemistry,115.0,Isomerism in Organic Compounds,115.0,
951,1-CONFIRM,"While organic compounds can exhibit acidic or basic properties (e.g., carboxylic acids, amines), acid-base neutralization reactions are a fundamental and highly characteristic type of reaction primarily studied in:",medium,Chemistry,24.0,neutralization Reaction,24.0,
990,1-CONFIRM,"Which s-block element exhibits a diagonal relationship with aluminum, showing similar properties like covalent character in its compounds?",medium,Chemistry,30.0,Periodic Properties Of Element,30.0,
666,1-CONFIRM,A citizen's right to vote is known as:,medium,Civic Education,36.0,Right And Duities Of A Citizen,36.0,
672,1-CONFIRM,Which of the following is not a method of acquiring Nigerian citizenship?,easy,Civic Education,68.0,Modes of Acquiring Citizenship,68.0,
141,1-CONFIRM,Which of the following is NOT an aid to trade?,easy,Commerce,55.0,Aid To Trade,55.0,
146,1-CONFIRM,Which of the following principles of insurance states that the insured should not make profit from a loss?,medium,Commerce,59.0,principles of insurance,59.0,
154,1-CONFIRM,One significant disadvantage of a sole proprietorship is:,easy,Commerce,63.0,Sole Proprietorship And Partnership,63.0,
774,1-CONFIRM,What is a key characteristic that distinguishes a general partnership from a sole proprietorship?,medium,Commerce,63.0,Sole Proprietorship And Partnership,63.0,
848,1-CONFIRM,"When discussing data quality, which characteristic ensures that the data is free from errors and correctly represents the real-world facts it intends to describe?",medium,Data Processing,134.0,Data Quality and Security,134.0,
742,1-CONFIRM,"When a foreign company invests in building a new factory in a domestic country, how is this transaction recorded in the domestic country's Balance of Payments?",hard,Economics,122.0,Balance Of Trade And Payment,122.0,
760,1-CONFIRM,"If the price elasticity of demand for a product is -0.5, demand for that product is considered:",medium,Economics,127.0,Price Determination And Elasticity,127.0,
1010,1-CONFIRM,Choose the sentence with correct subject-verb agreement.,medium,English Language,131.0,Concord (Subject-Verb Agreement),131.0,
650,1-CONFIRM,Which of the following is most likely to increase population growth?,easy,Geography,318.0,Natural increase and population trends,318.0,
651,1-CONFIRM,2. The Demographic Transition Model stage with high birth rates and low death rates is:,easy,Geography,317.0,"Birth rates, death rates, fertility rates",317.0,
461,1-CONFIRM,Which of the following is a primary role of the Executive arm of government?,medium,Government,227.0,The Executive,227.0,
787,1-CONFIRM,The rise of nationalist movements in colonized territories was primarily fueled by:,medium,History,281.0,Rise of Nationalist Movements,281.0,
749,1-CONFIRM,"According to the International Product Life Cycle (IPLC) theory, at which stage is a product most likely to be produced and exported by the innovating developed country, while imports by other developed countries are minimal?",hard,Marketing,189.0,Product Life Cycle,189.0,
208,1-CONFIRM,The first term of an arithmetic progression (AP) is 3 and the common difference is 2. Find the 10th term.,easy,Mathematics,201.0,Arithmetic Progression (AP),201.0,
209,1-CONFIRM,The first term of a geometric progression (GP) is 2 and the common ratio is 3. Find the 4th term.,easy,Mathematics,203.0,Geometric Progression (GP),203.0,
809,1-CONFIRM,The scores on a math test are normally distributed with a mean of 70 and a standard deviation of 10. What percentage of students scored between 60 and 80?,medium,Mathematics,212.0,Measures of Dispersion (Range and Standard Deviation),212.0,
811,1-CONFIRM,A sample of 100 students has a mean test score of 75 with a known population standard deviation of 10. What is the 95% confidence interval for the true population mean? (Use z-score for 95% CI is approximately 1.96),medium,Mathematics,212.0,Measures of Dispersion (Range and Standard Deviation),212.0,
118,1-CONFIRM,What is the kinetic energy of a 2 kg object moving at a speed of 4 m/s?,easy,Physics,217.0,Kinetic and Potential Energy,217.0,
125,1-CONFIRM,"In the photoelectric effect, the maximum kinetic energy of emitted electrons depends on:",hard,Physics,217.0,Kinetic and Potential Energy,217.0,
186,1-CONFIRM,Which of the following is the SI unit for electric current?,easy,Physics,219.0,"Electric Current, Voltage and Resistance",219.0,
328,1-CONFIRM,A particle moves at a constant speed of 10 m/s in a circular path. Is its velocity constant?,medium,Physics,213.0,"Distance, Displacement, Speed and Velocity",213.0,
340,1-CONFIRM,"In uniform circular motion, which of the following remains constant?",medium,Physics,301.0,Circular Motion and Gravitation,301.0,
349,1-CONFIRM,"For a particle moving in a straight line, which statement is always true regarding distance and the magnitude of displacement?",medium,Physics,213.0,"Distance, Displacement, Speed and Velocity",213.0,
351,1-CONFIRM,"When an object's acceleration is not constant, what type of motion does it exhibit?",medium,Physics,214.0,Acceleration and Equations of Motion,214.0,
420,1-CONFIRM,What is the energy stored in a 10 µF capacitor charged to a potential difference of 50 V?,medium,Physics,217.0,Kinetic and Potential Energy,217.0,
427,1-CONFIRM,Which of the following properties of a sound wave determines its pitch?,easy,Physics,305.0,Wave Properties and Sound,305.0,
436,1-CONFIRM,"What is the equivalent capacitance of two capacitors, 3 µF and 6 µF, connected in parallel?",easy,Physics,303.0,Capacitors,303.0,
635,1-CONFIRM,A body of mass 'm' moving with velocity 'v' possesses kinetic energy given by the formula:,easy,Physics,217.0,Kinetic and Potential Energy,217.0,
636,1-CONFIRM,What is the gravitational potential energy of an object of mass 'm' raised to a height 'h' above the ground?,easy,Physics,217.0,Kinetic and Potential Energy,217.0,
641,1-CONFIRM,A car of mass 1200 kg is moving at a speed of 10 m/s. What is its kinetic energy?,medium,Physics,217.0,Kinetic and Potential Energy,217.0,
642,1-CONFIRM,A 2 kg object is lifted to a height of 5 meters. What is its gravitational potential energy? (Take g = 10 m/s²),medium,Physics,217.0,Kinetic and Potential Energy,217.0,
687,1-CONFIRM,Velocity is speed in a given,medium,Physics,213.0,"Distance, Displacement, Speed and Velocity",213.0,
961,1-CONFIRM,A sound wave has a frequency of 500 Hz and travels at a speed of 340 m/s in air. What is its wavelength?,medium,Physics,305.0,Wave Properties and Sound,305.0,
963,1-CONFIRM,Which of the following statements about sound waves is correct?,medium,Physics,305.0,Wave Properties and Sound,305.0,
862,1-CONFIRM,You're chatting with a close friend about your weekend plans. Which sentence fits this informal register best?,medium,Use of English,237.0,Formal and Informal Expressions,237.0,
690,1-CONFIRM,Èwo ni èdè àwọn ọmọ Yorùbá?,medium,Yoruba,242.0,Àwọn Ẹ̀ka Èdè Yorùbá (Parts of Speech,242.0,
1053,1-CONFIRM,Èwo ni èdè ìbánisọ̀rọ̀ àwọn ọmọ Yorùbá?,easy,Yoruba,242.0,Àwọn Ẹ̀ka Èdè Yorùbá (Parts of Speech,242.0,
93,1-CONFIRM,What is the primary function of the epididymis in the male mammalian reproductive system?,medium,Biology,8.0,reproductive system,8.0,
100,1-CONFIRM,Which component of the male reproductive system is responsible for producing sperm (spermatogenesis)?,medium,Biology,8.0,reproductive system,8.0,
161,1-CONFIRM,The primary site for photosynthesis in a plant cell is the:,easy,Biology,11.0,Photosynthesis,11.0,
285,1-CONFIRM,The basic functional unit of the nervous system is the:,easy,Biology,85.0,Functions of the nervous system,85.0,
368,1-CONFIRM,Living organisms require a continuous input of energy to power their life processes. Where do most ecosystems ultimately derive their energy?,medium,Biology,18.0,Ecosystem,18.0,
370,1-CONFIRM,Asexual reproduction differs from sexual reproduction in that asexual reproduction:,medium,Biology,9.0,asexual reproduction,9.0,
386,1-CONFIRM,"Organisms that produce their own food, usually through photosynthesis, are called:",medium,Biology,11.0,Photosynthesis,11.0,
8,1-CONFIRM,What is the major organic product formed when a primary alcohol is oxidized with a strong oxidizing agent such as potassium permanganate (KMnO4) or chromic acid (CrO3/H2SO4)?,medium,Chemistry,5.0,Acid,5.0,
103,1-CONFIRM,"The process by which water is absorbed by roots, transported through the plant, and then evaporates from stomata on the leaves into the atmosphere is known as:",medium,Biology,,,15.0,transpiration - Transport in plant
163,1-CONFIRM,Eutrophication in aquatic environments is primarily caused by an excess of:,medium,Biology,,,17.0,eutrophication - Enviromental conservation
263,1-CONFIRM,"How many moles of hydrogen gas are produced when 0.6 moles of hydrochloric acid react completely with excess magnesium, according to the equation: Mg(s) + 2HCl(aq) → MgCl₂(aq) + H₂(g)?",medium,Chemistry,5.0,Acid,5.0,
342,1-CONFIRM,What does the slope of a position-time (x-t) graph represent?,medium,Physics,,,213.0,slope of x-t graph - Distance Displacement Speed and Velocity
354,1-CONFIRM,A curved line on a position-time graph (x-t graph) indicates:,medium,Physics,,,213.0,curved x-t graph - Distance Displacement Speed and Velocity
513,1-CONFIRM,"Which part of a plant is primarily responsible for anchorage, absorption of water, and mineral salts from the soil?",easy,Biology,,,15.0,root function - Transport in plant
516,1-CONFIRM,A buffer solution is prepared by mixing 0.20 M CH3COOH (Ka = 1.8 x 10^-5) and 0.20 M CH3COONa. Which of the following modifications would *increase* the buffer's capacity to neutralize added strong acid most effectively without significantly altering its initial pH?,hard,Chemistry,5.0,Acid,5.0,
519,1-CONFIRM,"During the titration of 0.1 M H2SO3 (sulfurous acid, a diprotic acid with Ka1 = 1.7 × 10^-2 and Ka2 = 6.4 × 10^-8) with 0.1 M NaOH, what is the predominant sulfur-containing species present at the first equivalence point?",hard,Chemistry,5.0,Acid,5.0,
520,1-CONFIRM,A student is performing a titration of a 0.1 M solution of a weak acid (Ka = 1.0 × 10^-5) with a 0.1 M strong base. Which indicator would be most appropriate for detecting the equivalence point?,hard,Chemistry,5.0,Acid,5.0,
521,1-CONFIRM,"Arrange the following oxyacids in order of increasing acid strength: HIO3, HBrO3, HClO3.",hard,Chemistry,5.0,Acid,5.0,
522,1-CONFIRM,"50.0 mL of 0.20 M acetic acid (CH3COOH, Ka = 1.8 × 10^-5) is mixed with 25.0 mL of 0.20 M NaOH. What is the pH of the resulting solution?",hard,Chemistry,5.0,Acid,5.0,
524,1-CONFIRM,"Given the following Ka values:
Hydrocyanic acid (HCN): Ka = 6.2 × 10^-10
Hypochlorous acid (HOCl): Ka = 3.0 × 10^-8
Nitrous acid (HNO2): Ka = 4.5 × 10^-4
Which of their conjugate bases is the *strongest*?",hard,Chemistry,5.0,Acid,5.0,
525,1-CONFIRM,"Which of the following compounds exhibits amphoteric behavior, meaning it can act as both a Brønsted-Lowry acid and a Brønsted-Lowry base?",hard,Chemistry,5.0,Acid,5.0,
546,1-CONFIRM,Which of the following statements best describes a strong acid?,medium,Chemistry,5.0,Acid,5.0,
547,1-CONFIRM,Phenolphthalein indicator changes color from colorless to pink in which type of solution?,medium,Chemistry,,,5.0,phenolphthalein indicator - Acid Base and salts bucket
548,1-CONFIRM,Which of the following is a characteristic property of a base?,medium,Chemistry,,,5.0,property of a base - Acid Base and salts bucket
549,1-CONFIRM,What is the salt formed when sulfuric acid (H2SO4) reacts with potassium hydroxide (KOH)?,medium,Chemistry,5.0,Acid,5.0,
550,1-CONFIRM,Which of the following oxides is considered amphoteric?,medium,Chemistry,,,5.0,amphoteric oxide - Acid Base and salts bucket
551,1-CONFIRM,Vinegar contains which common weak acid?,medium,Chemistry,5.0,Acid,5.0,
552,1-CONFIRM,"Sodium bicarbonate (NaHCO3), commonly known as baking soda, is used as an antacid because it is:",medium,Chemistry,5.0,Acid,5.0,
604,1-CONFIRM,Which of the following is a common characteristic of all acids?,easy,Chemistry,5.0,Acid,5.0,
605,1-CONFIRM,"According to the Brønsted-Lowry theory, an acid is a substance that:",medium,Chemistry,5.0,Acid,5.0,
606,1-CONFIRM,"When an acid reacts with a base, the products are typically:",easy,Chemistry,5.0,Acid,5.0,
608,1-CONFIRM,Which method is most suitable for preparing an insoluble salt like barium sulfate?,medium,Chemistry,,,5.0,preparing insoluble salt - Acid Base and salts bucket
611,1-CONFIRM,Which of the following salts would hydrolyze in water to give an acidic solution?,medium,Chemistry,5.0,Acid,5.0,
612,1-CONFIRM,Methyl orange indicator changes color from red (acidic) to yellow (basic) in the pH range of 3.1-4.4. It would appear yellow in a solution with a pH of:,easy,Chemistry,5.0,Acid,5.0,
614,1-CONFIRM,"According to Lewis theory, an acid is a substance that:",hard,Chemistry,5.0,Acid,5.0,
615,1-CONFIRM,Which of the following oxides is amphoteric?,medium,Chemistry,,,5.0,amphoteric oxide dup - Acid Base and salts bucket
616,1-CONFIRM,A substance that loses its water of crystallization when exposed to the atmosphere is said to be:,hard,Chemistry,,,5.0,water of crystallization - Acid Base and salts bucket
618,1-CONFIRM,Which of the following metals will NOT react with dilute hydrochloric acid to produce hydrogen gas?,medium,Chemistry,5.0,Acid,5.0,
664,1-CONFIRM,A substance with pH 7 is:,medium,Chemistry,,,5.0,pH 7 substance - Acid Base and salts bucket
695,1-CONFIRM,Which of the following is an example of an alphanumeric data type?,easy,Data Processing,,,132.0,alphanumeric data type - Basic Definitions of Data and Information
705,1-CONFIRM,Which of the following is an example of a figure of speech that uses exaggeration for emphasis?,easy,Literature in English,,,256.0,hyperbole figure of speech - Poetic Devices (need id lookup)
858,1-CONFIRM,"When giving a speech at a formal event, which introductory phrase would be most suitable?",medium,Use of English,,,237.0,formal speech phrase - Formal and Informal Expressions (need id lookup)
944,1-CONFIRM,"A common characteristic reaction for many organic compounds, especially hydrocarbons, is:",medium,Chemistry,31.0,Hydro Carbon,31.0,
995,1-CONFIRM,The depletion of the ozone layer in the stratosphere is primarily caused by:,medium,Biology,,,17.0,ozone depletion - Enviromental conservation
1026,1-CONFIRM,The volume $V$ of a sphere is given by $V = \frac{4}{3}\pi r^3$. What is the rate of change of volume with respect to its radius $r$?,medium,Mathematics,,,205.0,rate of change of volume - Differentiation
227,1-CONFIRM,"A figure of speech in which contradictory terms are placed next to each other for effect (e.g., 'jumbo shrimp', 'bitter sweet') is a(n):",hard,Literature in English,,,256.0,oxymoron figure of speech - Poetic Devices (need id lookup)
853,1-CONFIRM,"Which standard is commonly used to represent characters (like letters, numbers, and symbols) as numerical codes in computers?",medium,Data Processing,,,132.0,ASCII character encoding - Basic Definitions of Data and Information
260,1-CONFIRM,Taxes levied on imported goods to make them more expensive than locally produced goods are known as,medium,Economics,,,123.0,import tariffs - Trade Restrictions And Exchange Rate
745,1-CONFIRM,"A country imposes a tariff of $50 on every imported television, regardless of its value. This type of tariff is known as a(n):",hard,Economics,,,123.0,specific tariff - Trade Restrictions And Exchange Rate
797,1-CONFIRM,"Changes in consumer spending patterns due to an economic recession, affecting purchasing power and consumer confidence, would primarily fall under which macroenvironmental factor?",medium,Marketing,,,186.0,macroenvironmental factor - Marketing Concepts and Consumer Needs
836,1-CONFIRM,"According to Christian teachings, why is it important to forgive those who wrong us?",medium,CRS,,,56.0,forgiveness - Jesus' Teaching on Love and Forgiveness
1050,1-CONFIRM,2. Which part of speech describes an action or state of being?,medium,English Language,,,139.0,part of speech verb - Verbs and Adjectives
182,1-CONFIRM,"Expenditure incurred to acquire or improve a fixed asset, which increases its earning capacity or extends its useful life, is known as:",easy,Accounting,,,90.0,capital expenditure - Classification of Financial Transactions
460,1-CONFIRM,The primary function of the legislature in a democratic state is to...,easy,Government,226.0,The Legislature,226.0,
786,1-CONFIRM,A significant and lasting political legacy of colonialism in many parts of Africa is:,medium,History,285.0,Economic Activities in Pre-Colonial Africa,283.0,
230,1-CONFIRM,A group of lines forming the basic recurring metrical unit in a poem; a verse is also called a:,easy,Literature in English,,,256.0,stanza/verse - Poetic Devices
442,1-CONFIRM,Which of the following best describes personification?,medium,Literature in English,,,256.0,personification - Poetic Devices
443,1-CONFIRM,"A long speech made by a character in a play while alone on stage, revealing their thoughts and feelings, is called a...",medium,Literature in English,,,255.0,soliloquy - Dramatic Devices
455,1-CONFIRM,The pattern of rhymes at the end of lines in a poem is referred to as the...,easy,English Language,161.0,Rhymes,161.0,
890,1-CONFIRM,Which of the following best describes a lyric poem?,medium,Literature in English,,,256.0,lyric poem definition - Poetic Devices
893,1-CONFIRM,What is the primary function of imagery in a poem?,medium,Literature in English,,,256.0,imagery function - Poetic Devices
1052,1-CONFIRM,"1. Which literary device is used when a poet compares two unlike things using the words ""like"" or ""as""?",medium,Literature in English,,,256.0,simile - Poetic Devices
1054,1-CONFIRM,"2. In poetry, what is the theme of a poem?",medium,Literature in English,,,257.0,theme of a poem - Themes & Messages
12,1-CONFIRM,Rationalize the denominator of $\frac{1}{\sqrt{2}+\sqrt{3}+\sqrt{5}}$.,hard,Mathematics,,,209.0,rationalize denominator (surds) - Simplification of Expressions Involving Indices
13,1-CONFIRM,"If $x = \sqrt{3+\sqrt{5}}$ and $y = \sqrt{3-\sqrt{5}}$, find the value of $x+y$.",hard,Mathematics,,,209.0,surds - Simplification of Expressions Involving Indices
16,1-CONFIRM,Rationalize the denominator of $\frac{1}{\sqrt[3]{2}+1}$.,hard,Mathematics,,,209.0,rationalize denominator - Simplification of Expressions Involving Indices
22,1-CONFIRM,"If $x = \frac{1}{2+\sqrt{3}}$, find the value of $x+\frac{1}{x}$.",hard,Mathematics,,,209.0,surds - Simplification of Expressions Involving Indices
26,1-CONFIRM,"If $x = \frac{\sqrt{5}+\sqrt{3}}{\sqrt{5}-\sqrt{3}}$, find the value of $x^2$.",hard,Mathematics,,,209.0,surds - Simplification of Expressions Involving Indices
29,1-CONFIRM,"If $a=\sqrt{3}+\sqrt{2}$ and $b=\sqrt{3}-\sqrt{2}$, find the value of $(a+b)^2+(a-b)^2$.",hard,Mathematics,,,209.0,surds - Simplification of Expressions Involving Indices
30,1-CONFIRM,"If $x = 7+4\sqrt{3}$, find the value of $\sqrt{x}+\frac{1}{\sqrt{x}}$.",hard,Mathematics,,,209.0,surds - Simplification of Expressions Involving Indices
31,1-CONFIRM,Rationalize the denominator of the expression: \( \frac{1}{\sqrt{2} + \sqrt{3} - \sqrt{5}} \),hard,Mathematics,,,209.0,rationalize denominator - Simplification of Expressions Involving Indices
35,1-CONFIRM,"If \( x = 2 + \sqrt{3} \), find the value of \( x^3 - 6x^2 + 9x - 2 \).",hard,Mathematics,,,209.0,surds - Simplification of Expressions Involving Indices
37,1-CONFIRM,Rationalize the denominator of \( \frac{1}{\sqrt[3]{4} - \sqrt[3]{2} + 1} \).,hard,Mathematics,,,209.0,rationalize denominator - Simplification of Expressions Involving Indices
40,1-CONFIRM,"If \( x = \sqrt[3]{5} + \frac{1}{\sqrt[3]{5}} \), find the value of \( 5x^3 - 15x \).",hard,Mathematics,,,209.0,surds - Simplification of Expressions Involving Indices
204,1-CONFIRM,Rationalize the denominator of 1 / (√3 - √2).,medium,Mathematics,,,209.0,rationalize denominator - Simplification of Expressions Involving Indices
207,1-CONFIRM,Solve the inequality: 3x - 5 < 7.,easy,Mathematics,,,197.0,linear inequality - Linear Equations and Inequalities
309,1-CONFIRM,Rationalize the denominator of $\frac{6}{\sqrt{3}}$.,medium,Mathematics,,,209.0,rationalize denominator - Simplification of Expressions Involving Indices
311,1-CONFIRM,Rationalize the denominator of $\frac{1}{2 + \sqrt{3}}$.,medium,Mathematics,,,209.0,rationalize denominator - Simplification of Expressions Involving Indices
361,1-CONFIRM,Solve the inequality: 2x + 5 < 11,medium,Mathematics,,,197.0,linear inequality - Linear Equations and Inequalities
362,1-CONFIRM,"If f(x) = 3x² - 2x + 1, what is the value of f(-2)?",medium,Mathematics,,,199.0,evaluate f(x) quadratic - Quadratic Equations
619,1-CONFIRM,Find dy/dx if y = 3x^4 - 2x^2 + 5x - 1.,easy,Mathematics,,,205.0,find dy/dx - Differentiation
623,1-CONFIRM,"If y = (x+1) / (x-1), find dy/dx.",medium,Mathematics,,,205.0,find dy/dx quotient rule - Differentiation
626,1-CONFIRM,Evaluate ∫ (3x^2 - 4x + 2) dx.,easy,Mathematics,,,7.0,evaluate integral - integration
628,1-CONFIRM,Evaluate ∫ (2x + 1) dx from x = 0 to x = 2.,medium,Mathematics,,,7.0,definite integral - integration
631,1-CONFIRM,Find dy/dx if y = ln(5x).,easy,Mathematics,,,205.0,find dy/dx ln - Differentiation
632,1-CONFIRM,Evaluate ∫ (2x+3)^4 dx.,medium,Mathematics,,,7.0,evaluate integral - integration
633,1-CONFIRM,The function f(x) = x^3 - 6x^2 + 9x + 1 has a local maximum at which value of x?,hard,Mathematics,,,205.0,local maximum calculus - Differentiation
707,1-CONFIRM,"If x = t² + 1 and y = t³ + 2, find dy/dx.",easy,Mathematics,,,205.0,parametric dy/dx - Differentiation
754,1-CONFIRM,Which of the following is a likely consequence of a binding price ceiling in a market?,medium,Economics,,,127.0,price ceiling - Price Determination And Elasticity
808,1-CONFIRM,"If y = x * e^(2x), what is dy/dx?",medium,Mathematics,,,205.0,find dy/dx product rule - Differentiation
810,1-CONFIRM,Evaluate the definite integral ∫₀¹ x * (x² + 1)³ dx.,medium,Mathematics,,,7.0,definite integral - integration
812,1-CONFIRM,"If x² + y² = 25, find dy/dx at the point (3, 4).",medium,Mathematics,,,205.0,implicit differentiation - Differentiation
894,1-CONFIRM,Solve for x: 3(x - 2) = 15,medium,Mathematics,,,197.0,solve for x linear - Linear Equations and Inequalities
898,1-CONFIRM,Solve the inequality: 2x - 5 < 7,medium,Mathematics,,,197.0,linear inequality - Linear Equations and Inequalities
899,1-CONFIRM,"If f(x) = 3x^2 - 2x + 1, what is f(2)?",medium,Mathematics,,,199.0,evaluate f(2) quadratic - Quadratic Equations
902,1-CONFIRM,Solve for x: |x - 3| = 5,medium,Mathematics,,,197.0,solve absolute value equation - Linear Equations and Inequalities
1014,1-CONFIRM,Find the derivative of $f(x) = 3x^4 - 2x + 5$.,medium,Mathematics,,,205.0,find derivative - Differentiation
1022,1-CONFIRM,"If $f(x) = x^4 - 3x^2 + x$, find $f''(x)$.",medium,Mathematics,,,205.0,second derivative - Differentiation
1027,1-CONFIRM,Find the derivative of $f(x) = \sqrt{x^2+1}$.,medium,Mathematics,,,205.0,find derivative - Differentiation
1030,1-CONFIRM,Solve for x: 3(x - 2) + 5 = 2x + 7,medium,Mathematics,,,197.0,solve for x linear - Linear Equations and Inequalities
1035,1-CONFIRM,Solve the inequality: 2(x + 3) - 5 < 3x + 1,medium,Mathematics,,,197.0,linear inequality - Linear Equations and Inequalities
1036,1-CONFIRM,"If f(x) = 3x^2 - 2x + 1, find f(-2).",medium,Mathematics,,,199.0,evaluate f(-2) quadratic - Quadratic Equations
1042,1-CONFIRM,Solve for x: |2x - 1| = 5,medium,Mathematics,,,197.0,solve absolute value equation - Linear Equations and Inequalities
1043,1-CONFIRM,Solve for x: sqrt(x + 2) = 3,medium,Mathematics,,,197.0,solve for x with square root - Linear Equations and Inequalities
193,1-CONFIRM,Which of the following statements is true about electric field lines?,easy,Physics,,,302.0,electric field lines - Electrostatics
194,1-CONFIRM,"Three resistors with resistances of 3 Ω, 6 Ω, and 9 Ω are connected in series to a 12 V battery. What is the total current flowing through the circuit?",medium,Physics,219.0,"Electric Current, Voltage and Resistance",219.0,
341,1-CONFIRM,The direction of centripetal acceleration in uniform circular motion is always:,medium,Physics,301.0,Circular Motion and Gravitation,301.0,
965,1-CONFIRM,What condition must be met for two waves to produce constructive interference at a specific point?,medium,Physics,,,305.0,constructive interference - Wave Properties and Sound
859,1-CONFIRM,You are explaining a complex scientific concept to a group of children aged 7-9. Which approach is best for the register?,medium,Use of English,,,237.0,explaining to children register - Formal and Informal Expressions
15,1-CONFIRM,"Which of the following numbers is the largest: $\sqrt{2}$, $\sqrt[3]{3}$, $\sqrt[4]{4}$, $\sqrt[6]{6}$?",hard,Mathematics,,,209.0,compare surds - Simplification of Expressions Involving Indices
